ticker,name,train_years,annualized_return,currenct_price,base_price,over_value_range,over_value_years
IVV,SP500,10.0,0.13409077876043285,451.380005,408.7142008995363,0.1043903148130425,0.7785047993460212
3073.HK,Greater China,10.002739726027396,0.08267097214709684,51.68,52.33577054596971,-0.012530063838339878,-0.0010358725585807413
VPL,Developed Asia,10.0,0.06750000103680542,75.589996,77.02542406771511,-0.018635769748611586,-0.0012579144773529492
IEV,Europe,10.0,0.05273732730803915,53.32,49.10094258214966,0.08592620010891916,1.6293241333036
ASEA,SE Asia,10.0,0.0162855810157998,15.77,14.326667471606305,0.10074447049561264,6.186114600263465
IXJ,Global Healthcare,10.0,0.11098596657317938,84.309998,82.62968487401646,0.020335465741464054,0.1832255587741872
KXI,Global Consumer Staple,10.0,0.07151306663643298,62.66,60.78426224009117,0.030858937672055164,0.4315146744991327
XT,Global Tech,6.890410958904109,0.1874356812126705,59.349998,64.02965924989564,-0.07308583716855044,-0.013698893676685565
RXI,Global Consumer Discretionary,10.0,0.11925895150267518,166.303894,163.55316329117107,0.016818572343549665,0.141025659974651
IXG,Global Finance,10.0,0.07970248101078115,84.900002,77.12186628624559,0.10085512823153264,1.26539509125055
AAXJ,Asia ex Japan,10.0,0.061626648685957575,82.690002,81.20803583146052,0.01824900889876413,0.296122039537782
EZU,Eurozone,10.0,0.061395815077154525,47.959999,45.59375761220242,0.051898363103204836,0.8453078281961973
