date,open,high,low,close,close_adj,volume
2020-01-02,324.980011,326.320007,323.950012,326.320007,315.871643,4070500
2020-01-03,322.529999,325.059998,322.51001,323.809998,313.442047,4290400
2020-01-06,321.890015,325.140015,321.779999,325.089996,314.68103,4212000
2020-01-07,324.459991,324.970001,323.649994,324.200012,313.81958,3632500
2020-01-08,324.380005,327.209991,324.109985,325.850006,315.416687,3912100
2020-01-09,327.589996,328.170013,326.940002,328.049988,317.546265,2964600
2020-01-10,328.730011,328.899994,326.619995,327.140015,316.665436,3494600
2020-01-13,327.869995,329.429993,327.359985,329.429993,318.88205,3588100
2020-01-14,328.899994,330.070007,328.109985,328.920013,318.388367,4298700
2020-01-15,328.809998,330.48999,328.709991,329.660004,319.104675,4405100
2020-01-16,331.170013,332.399994,330.920013,332.399994,321.756958,5493100
2020-01-17,333.200012,333.649994,332.540009,333.5,322.821747,4982400
2020-01-21,332.380005,333.649994,332.309998,332.779999,322.124786,5892400
2020-01-22,333.75,334.440002,332.679993,332.850006,322.192505,4182400
2020-01-23,332.100006,333.410004,330.880005,333.26001,322.589478,7454900
2020-01-24,333.910004,334.01001,328.839996,330.230011,319.656464,4793500
2020-01-27,324.450012,326.559998,324.089996,324.869995,314.468079,6552900
2020-01-28,326.529999,329.299988,326.0,328.329987,317.817291,5559200
2020-01-29,329.869995,330.079987,327.920013,328.100006,317.594666,3372400
2020-01-30,325.820007,329.359985,324.959991,329.089996,318.552948,4084500
2020-01-31,328.450012,328.619995,322.179993,323.23999,312.890289,6354000
2020-02-03,324.809998,327.619995,324.730011,325.559998,315.135986,3119700
2020-02-04,329.559998,331.48999,329.220001,330.609985,320.024261,3636300
2020-02-05,333.779999,334.579987,332.200012,334.290009,323.586487,4106100
2020-02-06,335.570007,335.679993,334.290009,335.570007,324.825439,4442600
2020-02-07,334.329987,335.130005,333.119995,333.75,323.063782,4679900
2020-02-10,332.709991,336.23999,332.709991,336.220001,325.454651,3614300
2020-02-11,337.709991,338.540009,336.26001,336.839996,326.05481,5850800
2020-02-12,338.390015,339.190002,337.980011,339.0,328.14566,5473300
2020-02-13,337.459991,339.679993,337.100006,338.579987,327.739075,7908300
2020-02-14,339.0,339.26001,337.75,339.070007,328.21344,6510600
2020-02-18,338.049988,338.700012,336.75,338.26001,327.429321,3566600
2020-02-19,339.329987,340.630005,339.019989,339.880005,328.997498,2678800
2020-02-20,339.329987,340.200012,335.230011,338.48999,327.651978,3567700
2020-02-21,337.0,337.320007,334.100006,335.01001,324.283386,4323700
2020-02-24,324.609985,327.279999,322.700012,323.829987,313.461365,7492100
2020-02-25,325.380005,326.059998,313.079987,314.119995,304.062256,12100900
2020-02-26,315.529999,319.5,312.070007,312.910004,302.890991,11655100
2020-02-27,306.720001,311.029999,298.709991,298.709991,289.14566,11340100
2020-02-28,290.040009,297.959991,286.709991,295.910004,286.435364,19515300
2020-03-02,299.339996,310.5,295.649994,310.399994,300.461365,11780800
2020-03-03,310.76001,315.149994,298.880005,301.5,291.846375,12910300
2020-03-04,307.450012,314.75,304.709991,314.75,304.672089,7188600
2020-03-05,306.320007,309.809998,301.309998,303.76001,294.034027,6506600
2020-03-06,294.48999,300.040009,291.420013,298.700012,289.136017,9896200
2020-03-09,277.200012,285.290009,274.579987,274.799988,266.001251,14676500
2020-03-10,285.709991,289.73999,274.609985,289.549988,280.278961,14213300
2020-03-11,281.859985,283.029999,271.98999,275.470001,266.64978,9984000
2020-03-12,256.880005,267.779999,248.559998,248.960007,240.988617,22444700
2020-03-13,264.73999,272.070007,250.520004,271.549988,262.855316,24915800
2020-03-16,242.470001,257.820007,235.0,240.119995,232.431656,18004600
2020-03-17,245.800003,257.0,237.820007,255.389999,247.212723,18140900
2020-03-18,237.220001,246.889999,228.779999,241.169998,233.448029,22014200
2020-03-19,239.320007,248.25,232.940002,242.059998,234.30954,18324900
2020-03-20,244.850006,246.699997,230.699997,231.160004,223.758545,12619800
2020-03-23,230.229996,231.460007,220.279999,224.649994,217.45697,14473200
2020-03-24,236.990005,246.350006,235.970001,245.880005,238.007248,12474400
2020-03-25,245.570007,257.200012,240.490005,247.470001,241.047226,11938200
2020-03-26,250.330002,263.630005,249.899994,262.369995,255.560532,15886800
2020-03-27,254.0,261.630005,251.779999,254.240005,247.641525,9514700
2020-03-30,256.529999,263.200012,254.369995,262.359985,255.550735,9539800
2020-03-31,261.399994,264.100006,257.0,258.399994,251.693573,9561000
2020-04-01,248.759995,252.220001,244.619995,246.800003,240.394638,13680800
2020-04-02,245.919998,253.470001,245.440002,252.589996,246.034332,7510800
2020-04-03,251.490005,254.050003,246.0,249.020004,242.557007,6419000
2020-04-06,258.630005,267.809998,257.540009,265.799988,258.90152,9644800
2020-04-07,275.070007,276.0,265.700012,265.910004,259.008636,11723100
2020-04-08,268.75,276.25,266.399994,275.0,267.862671,5987700
2020-04-09,278.649994,282.070007,276.350006,279.119995,271.875824,11460300
2020-04-13,278.0,278.309998,272.290009,276.440002,269.26535,7569700
2020-04-14,281.869995,285.799988,280.799988,284.829987,277.437592,8106500
